site,filename,n_channels,duration_hrs,sfreq_main
I0002,sub-I0002150001401_ses-2.edf,19,6.1,500.0
I0002,sub-I0002150005420_ses-1.edf,19,7.38,500.0
I0002,sub-I0002150021789_ses-1.edf,19,8.2,200.0
I0002,sub-I0002150022030_ses-1.edf,19,7.54,500.0
I0002,sub-I0002150024301_ses-1.edf,19,8.54,500.0
I0002,sub-I0002150024833_ses-1.edf,18,7.39,200.0
I0002,sub-I0002150027762_ses-2.edf,19,8.48,200.0
I0002,sub-I0002150027837_ses-1.edf,19,8.65,200.0
I0002,sub-I0002150027991_ses-1.edf,19,8.43,200.0
I0002,sub-I0002150028102_ses-1.edf,19,7.48,200.0
I0002,sub-I0002150028261_ses-1.edf,19,6.92,200.0
I0002,sub-I0002150028357_ses-3.edf,19,7.19,500.0
I0002,sub-I0002150028540_ses-1.edf,19,7.18,500.0
I0002,sub-I0002150028560_ses-1.edf,17,8.37,500.0
I0002,sub-I0002150028608_ses-1.edf,19,7.44,200.0
I0002,sub-I0002150028614_ses-1.edf,19,7.77,200.0
I0002,sub-I0002150028799_ses-1.edf,19,8.65,500.0
I0002,sub-I0002150028804_ses-1.edf,18,7.55,500.0
I0002,sub-I0002150028867_ses-1.edf,19,8.51,200.0
I0002,sub-I0002150029112_ses-1.edf,19,6.81,500.0
I0002,sub-I0002150029312_ses-1.edf,19,8.36,500.0
I0002,sub-I0002150029337_ses-1.edf,19,7.64,200.0
I0002,sub-I0002150029520_ses-1.edf,19,7.92,500.0
I0002,sub-I0002150029533_ses-1.edf,19,8.2,500.0
I0002,sub-I0002150029713_ses-1.edf,19,7.43,500.0
I0002,sub-I0002150029887_ses-1.edf,19,9.06,200.0
I0002,sub-I0002150030167_ses-1.edf,17,7.61,500.0
I0002,sub-I0002150030947_ses-1.edf,17,7.92,200.0
I0002,sub-I0002150031018_ses-1.edf,19,8.16,200.0
I0002,sub-I0002150031255_ses-1.edf,18,8.04,500.0
I0006,sub-I0006179000018_ses-1.edf,24,6.77,200.0
I0006,sub-I0006179000246_ses-2.edf,24,6.08,200.0
I0006,sub-I0006179000419_ses-1.edf,24,7.34,200.0
I0006,sub-I0006179000552_ses-1.edf,24,6.64,200.0
I0006,sub-I0006179000692_ses-1.edf,24,6.92,200.0
I0006,sub-I0006179000737_ses-1.edf,24,7.12,200.0
I0006,sub-I0006179000854_ses-1.edf,24,7.38,200.0
I0006,sub-I0006179000908_ses-1.edf,24,7.41,200.0
I0006,sub-I0006179001236_ses-1.edf,24,7.27,200.0
I0006,sub-I0006179001276_ses-1.edf,24,6.29,200.0
I0006,sub-I0006179001338_ses-1.edf,24,8.49,200.0
I0006,sub-I0006179001354_ses-1.edf,24,7.41,200.0
I0006,sub-I0006179001479_ses-1.edf,24,6.79,200.0
I0006,sub-I0006179001822_ses-1.edf,24,7.4,200.0
